,Unnamed: 0,description,food_class,food_category,serving_size,serving_size_unit,calories_serving_size,calories_100g,calories_unit,protein_serving_size,protein_100g,protein_unit,fat_serving_size,fat_100g,fat_unit,sugar_serving_size,sugar_100g,sugar_unit,sodium_serving_size,sodium_100g,sodium_unit,cholesterol_serving_size,cholesterol_100g,cholesterol_unit,carbohydrates_serving_size,carbohydrates_100g,carbohydrates_unit,fiber_serving_size,fiber_100g,fiber_unit,protein_calories,fat_calories,carb_calories
26,0,"Milk, evaporated, NS as to fat content ",Survey,"Milk, whole",100,g,,134.0,kcal,,6.8100000000000005,g,,0.245,g,,10.0,g,,106.0,mg,,29.0,mg,,10.0,g,,0.0,g,27.24,2.205,40.0
27,0,"Milk, evaporated, whole ",Survey,"Milk, whole",100,g,,134.0,kcal,,6.8100000000000005,g,,0.245,g,,10.0,g,,106.0,mg,,29.0,mg,,10.0,g,,0.0,g,27.24,2.205,40.0
28,0,"Milk, evaporated, reduced fat (2%)",Survey,"Milk, reduced fat",100,g,,92.0,kcal,,7.42,g,,0.071,g,,11.2,g,,113.0,mg,,8.0,mg,,11.2,g,,0.0,g,29.68,0.639,44.8
29,0,"Milk, evaporated, fat free (skim)",Survey,"Milk, nonfat",100,g,,78.0,kcal,,7.55,g,,0.006,g,,11.4,g,,115.0,mg,,4.0,mg,,11.4,g,,0.0,g,30.2,0.054,45.6
30,0,"Milk, condensed, sweetened",Survey,"Flavored milk, whole",100,g,,321.0,kcal,,7.91,g,,0.337,g,,54.4,g,,127.0,mg,,34.0,mg,,54.4,g,,0.0,g,31.64,3.0330000000000004,217.6
31,0,"Non-dairy milk, NFS",Survey,Milk substitutes,100,g,,29.0,kcal,,1.04,g,,0.408,g,,3.03,g,,60.0,mg,,0.0,mg,,3.75,g,,0.2,g,4.16,3.672,15.0
32,0,Soy milk,Survey,Milk substitutes,100,g,,43.0,kcal,,2.6,g,,0.858,g,,3.65,g,,47.0,mg,,0.0,mg,,4.92,g,,0.2,g,10.4,7.721999999999999,19.68
33,0,"Soy milk, light",Survey,Milk substitutes,100,g,,30.0,kcal,,2.38,g,,0.426,g,,2.61,g,,48.0,mg,,0.0,mg,,3.51,g,,0.3,g,9.52,3.834,14.04
34,0,"Soy milk, nonfat",Survey,Milk substitutes,100,g,,28.0,kcal,,2.47,g,,0.036,g,,3.65,g,,57.0,mg,,0.0,mg,,4.14,g,,0.2,g,9.88,0.324,16.56
35,0,"Soy milk, chocolate",Survey,Milk substitutes,100,g,,63.0,kcal,,2.26,g,,0.836,g,,7.86,g,,53.0,mg,,0.0,mg,,9.95,g,,0.4,g,9.04,7.524,39.8
36,0,"Soy milk, light, chocolate",Survey,Milk substitutes,100,g,,47.0,kcal,,2.1,g,,0.405,g,,7.13,g,,46.0,mg,,0.0,mg,,8.24,g,,0.7000000000000001,g,8.4,3.645000000000001,32.96
37,0,"Soy milk, nonfat, chocolate",Survey,Milk substitutes,100,g,,47.0,kcal,,2.1,g,,0.405,g,,7.13,g,,46.0,mg,,0.0,mg,,8.24,g,,0.7000000000000001,g,8.4,3.645000000000001,32.96
38,0,"Almond milk, sweetened",Survey,Milk substitutes,100,g,,30.0,kcal,,0.38,g,,0.23,g,,4.77,g,,69.0,mg,,0.0,mg,,5.24,g,,0.2,g,1.52,2.0700000000000003,20.96
39,0,"Almond milk, sweetened, chocolate",Survey,Milk substitutes,100,g,,41.0,kcal,,0.43,g,,0.224,g,,7.72,g,,67.0,mg,,0.0,mg,,8.34,g,,0.3,g,1.72,2.016,33.36
40,0,"Almond milk, unsweetened",Survey,Milk substitutes,100,g,,15.0,kcal,,0.4,g,,0.24,g,,0.81,g,,72.0,mg,,0.0,mg,,1.31,g,,0.2,g,1.6,2.16,5.24
41,0,"Almond milk, unsweetened, chocolate",Survey,Milk substitutes,100,g,,16.0,kcal,,0.46,g,,0.241,g,,0.81,g,,72.0,mg,,0.0,mg,,1.48,g,,0.3,g,1.84,2.169,5.92
